date,open,,high,,low,,close,
2019-02-04 15.00.00.000,1.14367,143670,1.14372,143720,1.14245,142450,1.14262,142620
2019-02-04 15.15.00.000,1.14264,142640,1.14362,143620,1.14264,142640,1.14352,143520
2019-02-04 15.30.00.000,1.14354,143540,1.14373,143730,1.14296,142960,1.14327,143270
2019-02-04 15.45.00.000,1.14326,143260,1.14365,143650,1.14307,143070,1.14354,143540
2019-02-04 16.00.00.000,1.14355,143550,1.14357,143570,1.14253,142530,1.14284,142840
2019-02-04 16.15.00.000,1.14288,142880,1.14302,143020,1.14242,142420,1.14272,142720
2019-02-04 16.30.00.000,1.14268,142680,1.14322,143220,1.14263,142630,1.14293,142930
2019-02-04 16.45.00.000,1.14292,142920,1.14317,143170,1.14255,142550,1.14273,142730
2019-02-04 17.00.00.000,1.14272,142720,1.14377,143770,1.14262,142620,1.14375,143750
2019-02-04 17.15.00.000,1.14374,143740,1.14398,143980,1.14362,143620,1.14368,143680
2019-02-04 17.30.00.000,1.14369,143690,1.1437,143700,1.14321,143210,1.14336,143360
2019-02-04 17.45.00.000,1.14338,143380,1.14357,143570,1.14317,143170,1.14342,143420
2019-02-04 18.00.00.000,1.14343,143430,1.14349,143490,1.14295,142950,1.1431,143100
2019-02-04 18.15.00.000,1.14312,143120,1.14337,143370,1.14264,142640,1.14332,143320
2019-02-04 18.30.00.000,1.14331,143310,1.14341,143410,1.1431,143100,1.14333,143330
2019-02-04 18.45.00.000,1.14334,143340,1.14346,143460,1.14289,142890,1.14298,142980
2019-02-04 19.00.00.000,1.14296,142960,1.14329,143290,1.14289,142890,1.1432,143200
2019-02-04 19.15.00.000,1.14321,143210,1.14356,143560,1.14304,143040,1.14356,143560
2019-02-04 19.30.00.000,1.14354,143540,1.14356,143560,1.14321,143210,1.1433,143300
2019-02-04 19.45.00.000,1.14331,143310,1.14335,143350,1.14315,143150,1.14321,143210
2019-02-04 20.00.00.000,1.14322,143220,1.14338,143380,1.14306,143060,1.14311,143110
2019-02-04 20.15.00.000,1.1431,143100,1.14336,143360,1.1431,143100,1.1433,143300
2019-02-04 20.30.00.000,1.14332,143320,1.14343,143430,1.1433,143300,1.14337,143370
2019-02-04 20.45.00.000,1.14335,143350,1.14348,143480,1.14331,143310,1.14341,143410
2019-02-04 21.00.00.000,1.14342,143420,1.14346,143460,1.1432,143200,1.14343,143430
2019-02-04 21.15.00.000,1.14342,143420,1.14352,143520,1.14336,143360,1.14352,143520
2019-02-04 21.30.00.000,1.14353,143530,1.14358,143580,1.14333,143330,1.14353,143530
2019-02-04 21.45.00.000,1.14352,143520,1.14367,143670,1.14347,143470,1.1436,143600
2019-02-04 22.00.00.000,1.14361,143610,1.14362,143620,1.14341,143410,1.14362,143620
2019-02-04 22.15.00.000,1.14358,143580,1.14372,143720,1.14351,143510,1.14361,143610
2019-02-04 22.30.00.000,1.14354,143540,1.14368,143680,1.1435,143500,1.14355,143550
2019-02-04 22.45.00.000,1.14351,143510,1.14365,143650,1.1435,143500,1.1436,143600
2019-02-04 23.00.00.000,1.14358,143580,1.14358,143580,1.14341,143410,1.14347,143470
2019-02-04 23.15.00.000,1.14345,143450,1.14366,143660,1.14343,143430,1.14348,143480
2019-02-04 23.30.00.000,1.14349,143490,1.14355,143550,1.14343,143430,1.14344,143440
